ID,Start Time,End Time,Which age group do you belong to?,Can you read and understand English texts without translation assistance?,Answer for Comprehension Quiz,How mentally demand was the task?,How hard did you have to work to accomplish your level of performance?,"How insecure, discouraged, irritated, stressed, and annoyed were you?",How difficult was it for you to understand the veterinary treatment decision?,The explanation should be trusted.,The explanation is safe to rely on.,The explanation is reliable.,I am wary of the explanation.,The explanation of why the vet chose this treatment is satisfying.,The explanation of why the vet chose this treatment went into enough detail.,It is clear to me why the vet chose this particular treatment.,"Please share any comments or feedback about your experience reading the ""Summary"" and ""Explanatory Cards"". (Optional)",Reason for why prefer contrastive explanation?
11,7/24/26 2:29:26,7/24/26 2:31:48,35-44,"No, I usually need translation assistance","Without a steroid, it couldn't settle the swelling.",4,4,3,3,4,4,4,2,7,7,7,,淺顯易懂
12,7/24/26 2:27:32,7/24/26 2:42:35,35-44,"No, I usually need translation assistance",Oral or injected medicine can't reach the ear canal in high enough amounts.,3,3,4,3,3,3,3,3,3,3,4,,-
13,7/24/26 5:24:19,7/24/26 5:35:38,35-44,"Yes, but I may need occasional assistance",Oral or injected medicine can't reach the ear canal in high enough amounts.,5,5,4,2,6,6,6,2,6,4,6,,內容比較口語，沒有太多專業名詞，比較容易理解
14,7/24/26 14:52:39,7/24/26 15:13:57,25-34,"Yes, but I may need occasional assistance",Oral or injected medicine can't reach the ear canal in high enough amounts.,3,2,2,1,5,6,6,2,7,7,7,,-
15,7/28/26 12:56:31,7/28/26 12:57:55,25-34,"Yes, but I may need occasional assistance",Oral or injected medicine can't reach the ear canal in high enough amounts.,7,7,6,6,7,7,7,2,7,7,7,,對於第一個，個人理解的比較詳細相較2
16,7/23/26 17:07:49,7/23/26 17:09:14,35-44,"Yes, but I may need occasional assistance",A long-acting product wasn't needed for daily home care.,3,3,3,6,5,4,4,4,6,5,4,,接近自然療法
17,7/24/26 3:20:40,7/24/26 3:22:36,35-44,"Yes, but I may need occasional assistance",Oral or injected medicine can't reach the ear canal.,3,3,3,3,4,4,4,4,4,4,4,,比較清楚
18,7/24/26 14:20:29,7/24/26 14:36:27,18-24,"Yes, but I may need occasional assistance",A long-acting product wasn't needed for daily home care.,3,3,2,2,4,4,4,2,4,4,4,,更快令人理解
19,7/24/26 16:37:27,7/24/26 16:39:37,35-44,"Yes, but I may need occasional assistance","Without antifungal action, it couldn't clear the yeast.",4,4,2,3,5,4,4,3,3,3,2,,-
20,7/25/26 6:51:33,7/25/26 7:14:13,25-34,"Yes, but I may need occasional assistance","Without antifungal action, it couldn't clear the yeast.",3,3,2,2,5,5,5,2,5,5,5,,-
21,7/26/26 12:28:35,7/26/26 12:30:24,25-34,"Yes, but I may need occasional assistance","Without antifungal action, it couldn't clear the yeast.",2,3,2,5,6,6,7,5,6,7,7,,條列式
22,7/27/26 6:01:15,7/27/26 6:23:22,25-34,"Yes, English is my first language",Oral or injected medicine can't reach the ear canal in high enough amounts.,1,1,1,1,5,4,5,4,6,6,6,Summary sections provide good insight into the issue and recommended application method. Briefly mentioning alternative treatment option makes the prescription feel well reasoned and makes the function of the medication more clear.,"More sensible flow of information, language that refers to human decision making rather than ambivalent fact. Specifics seem more meaningful rather than confusing."
23,7/24/26 4:59:45,7/24/26 5:07:35,18-24,"Yes, English is my first language",Oral or injected medicine can't reach the ear canal in high enough amounts.,3,2,1,1,6,6,6,4,6,6,7,,"It's clear, concise and professional. Content is informative. There are no unexplained abbreviations. "
24,7/24/26 18:46:32,7/24/26 18:52:15,18-24,"Yes, English is my first language",Oral or injected medicine can't reach the ear canal in high enough amounts.,1,1,1,1,7,7,7,2,7,7,7,,-
25,7/25/26 1:30:02,7/25/26 1:42:48,25-34,"Yes, English is my first language","Without antifungal action, it couldn't clear the yeast.",4,3,2,2,4,4,4,4,6,6,6,"Would love a summary of the medication, dose, how often we administer, and for how many days. Then, if I am concerned, I will read the explanation.",I like how it explained that mix medication is needed and how it works to treat instead of the second one which just states that it is how it is commonly treated. 
26,7/26/26 1:52:42,7/26/26 1:57:57,25-34,"Yes, English is my first language",Oral or injected medicine can't reach the ear canal.,1,1,1,1,7,7,7,7,7,7,7,It was very organized and put together . Easy for any person owner to understand ,I liked the first one because I thought I was more detail even though there about the same amount 
27,7/27/26 22:19:52,7/27/26 22:22:15,18-24,"Yes, English is my first language","Without antifungal action, it couldn't clear the yeast.",4,3,4,5,5,4,6,5,3,4,4,None,It was easier 
28,7/28/26 9:57:36,7/28/26 10:03:06,18-24,"Yes, English is my first language","Without antifungal action, it couldn't clear the yeast.",5,3,3,2,6,5,6,2,5,6,6,It makes sense the course of treatment ,"Had more specifics, just felt more technical with the way it explained "
29,7/24/26 14:43:05,7/24/26 14:54:15,25-34,"Yes, English is my first language","Without antifungal action, it couldn't clear the yeast.",2,2,2,3,5,5,5,4,4,5,5,,It went into more detail about the medicine used and the vet’s notes were short and concise  
30,7/25/26 4:54:22,7/25/26 4:57:06,55+,"Yes, English is my first language","Without antifungal action, it couldn't clear the yeast.",2,2,1,2,6,6,6,1,7,6,6,,-
31,7/24/26 11:21:45,7/24/26 11:30:29,18-24,"Yes, I can understand most English texts and articles",Oral or injected medicine can't reach the ear canal in high enough amounts.,5,6,6,7,5,3,3,6,5,3,2,,-
32,7/28/26 16:39:35,7/28/26 16:49:45,25-34,"Yes, I can understand most English texts and articles",Oral or injected medicine can't reach the ear canal in high enough amounts.,2,3,1,5,6,5,6,3,7,6,6,"It felt well put, concise and clear instructions as well as reasoning were there.",Because there were more terms and details were added in sequential order for easy comprehension
33,7/24/26 9:54:15,7/24/26 10:26:22,18-24,"Yes, I can understand most English texts and articles",Oral or injected medicine can't reach the ear canal in high enough amounts.,3,3,3,2,7,7,7,1,7,7,7,Good one,較為直觀易懂的英文單字描述&句子
34,7/24/26 6:53:55,7/24/26 6:54:25,18-24,"Yes, I can understand most English texts and articles",Oral or injected medicine can't reach the ear canal in high enough amounts.,1,1,1,1,7,7,7,7,7,7,7,,更直觀
35,7/24/26 19:11:57,7/24/26 19:16:45,25-34,"Yes, I can understand most English texts and articles",A long-acting product wasn't needed for daily home care.,2,3,1,2,5,6,7,6,7,6,7,,It was much easier to understand 
36,7/24/26 3:16:21,7/24/26 3:29:53,25-34,"Yes, I can understand most English texts and articles","Without antifungal action, it couldn't clear the yeast.",5,5,2,2,5,5,5,4,5,4,4,,用詞較好懂，在說明選用藥物的原因也以生活情境來說明 較好理解
37,7/24/26 3:53:15,7/24/26 3:58:57,18-24,"Yes, I can understand most English texts and articles",Oral or injected medicine can't reach the ear canal.,4,3,2,3,5,5,6,5,5,6,5,,-
38,7/24/26 18:01:25,7/24/26 18:08:46,25-34,"Yes, I can understand most English texts and articles","Without antifungal action, it couldn't clear the yeast.",3,1,1,1,6,6,4,1,7,6,6,,-
39,7/27/26 4:01:47,7/27/26 4:24:40,35-44,"Yes, I can understand most English texts and articles","Without antifungal action, it couldn't clear the yeast.",3,3,3,3,4,4,4,4,4,4,4,,-
40,7/27/26 4:44:35,7/27/26 4:57:18,25-34,"Yes, I can understand most English texts and articles",Oral or injected medicine can't reach the ear canal.,3,3,3,3,5,5,5,2,4,5,5,,第一種更清楚細節
41,7/27/26 6:23:39,7/27/26 7:00:41,25-34,"Yes, I can understand most English texts and articles",Oral or injected medicine can't reach the ear canal.,5,5,5,5,4,4,4,4,4,4,4,,-
42,2008/1/26 08:52,2008/1/26 08:53,18-24,"Yes, I can understand most English texts and articles",Oral or injected medicine can't reach the ear canal in high enough amounts.,4,3,3,3,3,4,4,4,4,4,3,,-
,,,,,,3.6,3.36,2.88,3.05,5.21,5.1,5.24,3.21,5.43,5.31,5.4,,
